------+----------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File    Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1  k.s      1 | Comment     | 11 |         |    0 | 00/8000               | ******************
    2 |  1  k.s      2 | Comment     | 11 |         |    0 | 00/8000               | *    CRYPTO 2    *
    3 |  1  k.s      3 | Comment     | 11 |         |    0 | 00/8000               | ******************
    4 |  1  k.s      4 | Comment     | 11 |         |    0 | 00/8000               | *
    5 |  1  k.s      5 | Comment     | 11 |         |    0 | 00/8000               | * MLI / ProDOS
    6 |  1  k.s      6 | Equivalence | 11 |         |    0 | 00/8000               | MLI            equ     $BF00          
    7 |  1  k.s      7 | Equivalence | 11 |         |    0 | 00/8000               | create         equ     $C0            
    8 |  1  k.s      8 | Equivalence | 11 |         |    0 | 00/8000               | destroy        equ     $C1            
    9 |  1  k.s      9 | Equivalence | 11 |         |    0 | 00/8000               | online         equ     $C5            
   10 |  1  k.s     10 | Equivalence | 11 |         |    0 | 00/8000               | getprefix      equ     $c7            
   11 |  1  k.s     11 | Equivalence | 11 |         |    0 | 00/8000               | setprefix      equ     $c6            
   12 |  1  k.s     12 | Equivalence | 11 |         |    0 | 00/8000               | open           equ     $C8            
   13 |  1  k.s     13 | Equivalence | 11 |         |    0 | 00/8000               | close          equ     $CC            
   14 |  1  k.s     14 | Equivalence | 11 |         |    0 | 00/8000               | geteof         equ     $D1            
   15 |  1  k.s     15 | Equivalence | 11 |         |    0 | 00/8000               | read           equ     $CA            
   16 |  1  k.s     16 | Equivalence | 11 |         |    0 | 00/8000               | write          equ     $CB            
   17 |  1  k.s     17 | Equivalence | 11 |         |    0 | 00/8000               | devnum         equ     $BF30          ; last used device here, format : DSSS0000
   18 |  1  k.s     18 | Comment     | 11 |         |    0 | 00/8000               | *
   19 |  1  k.s     19 | Comment     | 11 |         |    0 | 00/8000               | * ROM routines
   20 |  1  k.s     20 | Equivalence | 11 |         |    0 | 00/8000               | home           equ     $FC58          
   21 |  1  k.s     21 | Equivalence | 11 |         |    0 | 00/8000               | text           equ     $FB2F          
   22 |  1  k.s     22 | Equivalence | 11 |         |    0 | 00/8000               | col80off       equ     $C00C          
   23 |  1  k.s     23 | Equivalence | 11 |         |    0 | 00/8000               | cout           equ     $FDF0          
   24 |  1  k.s     24 | Equivalence | 11 |         |    0 | 00/8000               | vtab           equ     $FC22          
   25 |  1  k.s     25 | Equivalence | 11 |         |    0 | 00/8000               | getln          equ     $FD6A          
   26 |  1  k.s     26 | Equivalence | 11 |         |    0 | 00/8000               | bascalc        equ     $FBC1          
   27 |  1  k.s     27 | Equivalence | 11 |         |    0 | 00/8000               | cr             equ     $FD8E          ; print carriage return
   28 |  1  k.s     28 | Equivalence | 11 |         |    0 | 00/8000               | clreop         equ     $FC42          ; clear from cursor to end of page
   29 |  1  k.s     29 | Equivalence | 11 |         |    0 | 00/8000               | clreol         equ     $FC9C          ; clear from cursor to end of line
   30 |  1  k.s     30 | Equivalence | 11 |         |    0 | 00/8000               | xtohex         equ     $F944          
   31 |  1  k.s     31 | Equivalence | 11 |         |    0 | 00/8000               | rdkey          equ     $FD0C          ; wait for keypress
   32 |  1  k.s     32 | Empty       | 11 |         |    0 | 00/8000               |                                       
   33 |  1  k.s     33 | Empty       | 11 |         |    0 | 00/8000               |                                       
   34 |  1  k.s     34 | Comment     | 11 |         |    0 | 00/8000               | *
   35 |  1  k.s     35 | Comment     | 11 |         |    0 | 00/8000               | * ROM switches
   36 |  1  k.s     36 | Equivalence | 11 |         |    0 | 00/8000               | ALTCHARSET0FF  equ     $C00E          
   37 |  1  k.s     37 | Equivalence | 11 |         |    0 | 00/8000               | ALTCHARSET0N   equ     $C00F          
   38 |  1  k.s     38 | Equivalence | 11 |         |    0 | 00/8000               | kbd            equ     $C000          
   39 |  1  k.s     39 | Equivalence | 11 |         |    0 | 00/8000               | kbdstrb        equ     $C010          
   40 |  1  k.s     40 | Comment     | 11 |         |    0 | 00/8000               | *
   41 |  1  k.s     41 | Comment     | 11 |         |    0 | 00/8000               | * page 0
   42 |  1  k.s     42 | Equivalence | 11 |         |    0 | 00/8000               | ptr            equ     $06            
   43 |  1  k.s     43 | Equivalence | 11 |         |    0 | 00/8000               | cv             equ     $25            
   44 |  1  k.s     44 | Equivalence | 11 |         |    0 | 00/8000               | ch             equ     $24            
   45 |  1  k.s     45 | Equivalence | 11 |         |    0 | 00/8000               | wndlft         equ     $20            
   46 |  1  k.s     46 | Equivalence | 11 |         |    0 | 00/8000               | wndwdth        equ     $21            
   47 |  1  k.s     47 | Equivalence | 11 |         |    0 | 00/8000               | wndtop         equ     $22            
   48 |  1  k.s     48 | Equivalence | 11 |         |    0 | 00/8000               | wndbtm         equ     $23            
   49 |  1  k.s     49 | Equivalence | 11 |         |    0 | 00/8000               | prompt         equ     $33            
   50 |  1  k.s     50 | Comment     | 11 |         |    0 | 00/8000               | *
   51 |  1  k.s     51 | Equivalence | 11 |         |    0 | 00/8000               | ourch          equ     $57B           
   52 |  1  k.s     52 | Equivalence | 11 |         |    0 | 00/8000               | ourcv          equ     $5FB           
   53 |  1  k.s     53 | Comment     | 11 |         |    0 | 00/8000               | *
   54 |  1  k.s     54 | Comment     | 11 |         |    0 | 00/8000               | * prog. equ
   55 |  1  k.s     55 | Equivalence | 11 |         |    0 | 00/8000               | pfbuffer       equ     $5000          ; storage for PREFIX string (65 bytes max)
   56 |  1  k.s     56 | Empty       | 11 |         |    0 | 00/8000               |                                       
   57 |  1  k.s     57 | Equivalence | 11 |         |    0 | 00/8000               | fbuff          equ     $5100          ; file buffer, 1024 b., for reading
   58 |  1  k.s     58 | Equivalence | 11 |         |    0 | 00/8000               | filename       equ     $5500          ; storage for filename (65 bytes max)
   59 |  1  k.s     59 | Equivalence | 11 |         |    0 | 00/8000               | fbuffW         equ     $5600          ; file buffer, 1024 b., for writing
   60 |  1  k.s     60 | Empty       | 11 |         |    0 | 00/8000               |                                       
   61 |  1  k.s     61 | Equivalence | 11 |         |    0 | 00/8000               | rdbuff         equ     $5A00          ; file byffer for reading a file, 512 b.
   62 |  1  k.s     62 | Equivalence | 11 |         |    0 | 00/8000               | wrbuff         equ     $5C00          ; file byffer for writing a file, 512 b.
   63 |  1  k.s     63 | Empty       | 11 |         |    0 | 00/8000               |                                       
   64 |  1  k.s     64 | Equivalence | 11 |         |    0 | 00/8000               | ptr1           equ     $06            
   65 |  1  k.s     65 | Equivalence | 11 |         |    0 | 00/8000               | prt2           equ     $08            
   66 |  1  k.s     66 | Comment     | 11 |         |    0 | 00/8000               | *
   67 |  1  k.s     67 | Comment     | 11 |         |    0 | 00/8000               | *
   68 |  1  k.s     68 | Comment     | 11 |         |    0 | 00/8000               | *
